id,title,body,category,priority
198,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
199,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
200,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
201,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
202,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
203,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
204,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
205,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
206,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
207,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
208,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
209,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
210,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
211,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
212,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
213,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
214,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
215,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
216,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
217,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
218,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
219,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
220,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
221,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
222,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
223,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
224,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
225,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
226,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
227,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
228,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
229,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
230,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
231,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
232,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
233,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
234,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
235,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
236,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
237,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
238,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
239,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
240,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
241,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
242,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
243,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
244,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
245,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
246,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
247,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
248,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
249,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
250,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
251,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
252,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
253,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
254,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
255,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
256,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
257,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
258,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
259,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
260,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
261,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
262,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
263,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
264,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
265,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
266,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Bassa,Amministrazione,Bassa
267,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
268,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
269,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
270,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
271,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
272,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
273,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
274,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
275,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
276,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
277,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
278,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
279,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
280,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
281,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
282,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
283,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
284,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
285,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
286,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
287,Ticket Tecnico,Descrizione problema Tecnico con priorità Media,Tecnico,Media
288,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
289,Ticket Commerciale,Descrizione problema Commerciale con priorità Bassa,Commerciale,Bassa
290,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
291,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
292,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
293,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Alta,Amministrazione,Alta
294,Ticket Commerciale,Descrizione problema Commerciale con priorità Media,Commerciale,Media
295,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
296,Ticket Amministrazione,Descrizione problema Amministrazione con priorità Media,Amministrazione,Media
297,Ticket Tecnico,Descrizione problema Tecnico con priorità Bassa,Tecnico,Bassa
298,Ticket Tecnico,Descrizione problema Tecnico con priorità Alta,Tecnico,Alta
299,Ticket Commerciale,Descrizione problema Commerciale con priorità Alta,Commerciale,Alta
